---------------------------------------------
ti                wi              Error
---------------------------------------------
0                0.5          0
0.200000       0.830000       0.000701
0.400000       1.215800       0.001712
0.600000       1.652076       0.003135
0.800000       2.132333       0.005103
1.000000       2.648646       0.007787
1.200000       3.191348       0.011406
1.400000       3.748645       0.016245
1.600000       4.306146       0.022663
1.800000       4.846299       0.031122
2.000000       5.347684       0.042212
